id,prompt,target
0,not ( True ) and ( True ) is,False
2,not True or False or ( False ) is,False
4,True or not False and True and False is,True
6,not True and ( False or True ) is,False
8,not True or ( False and True ) is,False
10,False or ( False ) and not False is,False
12,not True or False or not not True is,True
14,not not True and not True or True is,True
16,not not False and not not not False is,False
18,False and False and False or not False is,True
20,True and False or ( not True ) is,False
22,not False or ( True ) and True is,True
24,( True and not not not True ) is,False
26,False and False or True and not False is,True
28,True and not True or False or True is,True
30,False and ( not False ) or False is,False
32,( True ) and True or not True is,True
34,not not not not not not not False is,True
36,False or True or False and not False is,True
38,not not not not True and not True is,False
40,( False and True or not False ) is,True
42,not not True and not False or True is,True
44,True or True or not False or False is,True
46,( ( not True ) or True ) is,True
48,not True or False or ( True ) is,True
50,not False or False or ( False ) is,True
52,True or ( ( not True ) ) is,True
54,( False ) and not False and True is,False
56,( not False and ( True ) ) is,True
58,True and not False and not not True is,True
60,not not ( False and not True ) is,False
62,False or not True or False or False is,False
64,not ( True or True or False ) is,False
66,not ( False ) or not not True is,True
68,True or ( not ( True ) ) is,True
70,False or not True and True or True is,True
72,( not False ) and False or True is,True
74,( not False or True ) and True is,True
76,False or True and not not not False is,True
78,( not True ) and True and False is,False
80,True and ( False ) or not False is,True
82,not not not False and True or False is,True
84,not False or ( ( False ) ) is,True
86,not not not not True or not True is,True
88,True and True and True or not False is,True
90,not False and False and False or False is,False
92,( not False ) or ( True ) is,True
94,False or not False or False or False is,True
96,False or ( False ) or not True is,False
98,True or ( True or not True ) is,True
100,False or not False or not not True is,True
102,False or not ( True ) and True is,False
104,False and ( True and not False ) is,False
106,False and not ( False and True ) is,False
108,False and ( False or not False ) is,False
110,True and not True or True and True is,True
112,( ( not ( True ) ) ) is,False
114,not True and not True and not True is,False
116,False or ( True ) or not True is,True
118,True or False or not True or False is,True
120,not True and True or True and False is,False
122,not ( False or ( False ) ) is,True
124,False or not False or True or True is,True
126,not ( True or False or True ) is,False
128,True and True and not not not False is,True
130,False and False and not True and False is,False
132,not not not True and False and False is,False
134,False and False or False or not True is,False
136,not True and True and not not False is,False
138,( not True ) and True or True is,True
140,( ( True ) ) or not False is,True
142,True and not True and True and True is,False
144,True or not False and True or True is,True
146,True and not ( True or False ) is,False
148,not ( True and True ) or False is,False
150,not True and False or False and False is,False
152,( not ( False ) and False ) is,False
154,not False and not True or not True is,False
156,( not False ) or True and False is,True
158,True or not ( ( True ) ) is,True
160,not False and True or ( True ) is,True
162,False and not True and False and True is,False
164,not False or not ( not False ) is,True
166,( True and not True and True ) is,False
168,not True or True and False and False is,False
170,not True and ( False ) and False is,False
172,True or False and not True and False is,True
174,not False or True or True and False is,True
176,( not True ) and ( False ) is,False
178,not ( not not False ) and True is,True
180,False or True and not False or True is,True
182,False and not ( True ) or True is,True
184,not ( not not True ) or False is,False
186,not not not False and True and False is,False
188,not False or not not False and False is,True
190,False and True or ( not False ) is,True
192,not ( ( False and True ) ) is,True
194,False and not False or False and True is,False
196,True and True or False and not True is,True
198,True or False or not True and True is,True
200,False or False or True and not False is,True
202,not False and False or True and True is,True
204,not False or not not not not True is,True
206,True and False and not True or False is,False
208,not ( True ) and ( False ) is,False
210,True and not ( False or False ) is,True
212,not True or not False and not True is,False
214,not True and True and False and True is,False
216,( not False or False and True ) is,True
218,not not not ( False ) and False is,False
220,False and not True and True or False is,False
222,False or ( False or not False ) is,True
224,True or ( not False ) or True is,True
226,False and not ( not not False ) is,False
228,False and not True and True and False is,False
230,not ( False ) and ( True ) is,True
232,not False or ( not not False ) is,True
234,True or False and not False and True is,True
236,not ( False ) or not not False is,True
238,False and not ( not not True ) is,False
240,False or ( not False and False ) is,False
242,( not False ) or not not False is,True
244,True or not False and ( False ) is,True
246,True and not True or False and True is,False
248,True and ( not True or False ) is,False
1,True and not not ( not False ) is,True
3,False or not ( True ) and False is,False
5,False or not not not False and True is,True
7,True and not False or ( True ) is,True
9,not True or ( True or False ) is,True
11,not False or True and False and False is,True
