id,llm_correct,assessor_correct
342,0,0.5
451,1,0.0
418,0,0.25
253,0,0.45
310,0,0.07
145,0,0.01
212,0,0.01
397,0,0.17
257,0,0.0
527,0,0.03
534,0,0.0
283,1,0.43
455,1,0.01
109,0,0.11
225,1,0.2
79,1,0.25
222,1,0.01
110,0,0.0
471,1,0.14
364,1,0.42
384,1,0.19
29,0,0.13
104,0,0.15
65,0,0.46
523,1,0.24
390,1,0.0
261,0,0.3
319,1,0.76
467,0,0.02
175,1,0.12
519,0,0.19
510,0,0.0
302,0,0.27
411,0,0.14
317,0,0.35
305,0,1.0
84,1,0.08
194,0,0.07
53,0,0.05
433,0,0.27
335,0,0.0
166,1,0.18
478,0,1.0
48,0,0.12
330,1,0.48
296,1,0.09
299,0,0.02
340,0,0.01
450,0,0.44
97,1,0.0
415,0,0.19
275,0,0.01
454,0,0.05
156,0,0.07
133,1,0.01
157,0,0.0
357,0,0.0
280,0,0.08
484,0,0.24
509,0,0.06
181,0,0.02
174,0,0.04
9,0,0.01
113,0,0.0
466,0,0.01
386,0,0.34
163,1,0.13
164,1,0.36
173,0,0.09
292,0,0.5
277,0,0.01
6,1,0.04
306,1,0.18
532,0,0.0
108,1,0.12
358,0,0.03
387,0,0.0
404,1,0.0
19,0,0.06
490,1,0.33
180,0,0.04
23,0,0.01
326,0,0.0
285,1,0.04
432,0,0.0
241,0,0.0
16,0,0.54
441,1,0.12
371,0,0.01
123,0,0.06
136,0,0.03
320,1,0.02
351,0,0.04
24,1,0.11
276,0,0.0
421,0,1.0
398,0,0.01
530,1,0.0
96,0,0.01
366,1,0.72
408,0,1.0
436,0,0.0
516,0,0.51
252,0,0.04
345,0,0.04
267,0,0.25
189,1,0.18
135,1,0.0
372,0,0.02
55,1,0.25
505,0,0.0
28,0,0.09
515,0,0.08
215,0,0.12
339,0,0.05
196,1,0.22
76,0,0.0
396,0,0.0
188,0,0.13
348,0,0.0
38,0,0.31
0,0,0.01
472,1,0.41
324,1,0.14
508,0,0.16
22,0,0.01
424,0,0.12
100,0,0.1
513,0,0.04
10,0,0.02
314,0,0.08
217,0,0.11
446,0,0.02
427,0,0.0
143,0,0.19
328,0,0.26
228,0,0.02
388,0,0.01
120,0,0.02
170,0,0.0
131,1,0.25
92,0,0.03
176,0,0.09
125,0,0.12
512,1,0.0
7,0,0.0
268,1,0.27
25,0,0.31
439,0,0.85
287,0,0.09
279,1,0.05
522,0,0.02
12,1,0.02
200,0,0.0
445,1,0.2
315,0,0.57
282,0,0.89
82,0,0.0
193,0,0.03
103,1,0.13
496,1,0.07
413,0,0.0
535,0,0.01
407,0,0.03
14,0,0.0
121,0,0.01
249,0,0.1
540,0,0.0
142,1,0.35
506,0,0.0
218,0,0.04
416,1,0.0
392,1,0.07
264,0,0.43
70,0,0.0
453,0,0.14
165,0,0.89
395,0,0.23
440,0,0.02
378,1,0.39
353,0,0.0
347,0,0.15
101,0,0.26
195,0,0.27
102,1,0.3
71,0,0.11
236,0,0.0
57,0,0.0
374,0,0.24
62,0,0.14
