id,llm_correct,assessor_correct
342,1,0.48
451,0,1.0
418,1,0.14
253,1,0.41
310,1,0.07
145,1,0.01
212,0,0.25
397,1,0.0
257,1,0.0
527,1,0.24
534,1,0.02
283,1,0.54
455,0,0.0
109,1,0.11
225,1,0.18
79,1,0.21
222,1,0.05
110,1,0.01
471,1,0.13
364,1,0.25
384,1,0.3
29,1,0.25
104,1,0.27
65,1,0.55
523,0,0.16
390,1,0.0
261,1,0.37
319,1,0.56
467,1,0.09
175,1,0.02
519,1,0.35
510,1,0.02
302,1,0.46
411,1,0.42
317,1,0.18
305,0,1.0
84,1,0.03
194,1,0.09
53,0,0.09
433,1,0.37
335,1,0.0
166,1,0.14
478,1,0.0
48,1,0.06
330,1,0.44
296,0,0.03
299,1,0.3
340,1,0.23
450,0,0.15
97,0,0.0
415,1,0.21
275,1,0.0
454,1,0.01
156,0,0.0
133,1,0.0
157,0,0.02
357,0,0.0
280,1,0.12
484,1,0.16
509,1,0.07
181,0,0.01
174,1,0.11
9,1,0.11
113,1,0.0
466,0,0.01
386,1,0.17
163,0,0.05
164,1,0.36
173,1,0.2
292,1,0.43
277,0,0.03
6,1,0.08
306,1,0.2
532,1,0.03
108,1,0.15
358,1,0.12
387,1,0.02
404,1,0.0
19,1,0.09
490,1,0.28
180,0,0.02
23,0,0.02
326,0,0.0
285,1,0.0
432,1,0.08
241,1,0.02
16,1,0.31
441,1,0.11
371,1,0.07
123,1,0.02
136,1,0.0
320,1,0.0
351,1,0.04
24,1,0.11
276,1,0.0
421,1,0.0
398,0,0.03
530,1,0.0
96,1,0.1
366,1,0.71
408,1,0.0
436,0,0.0
516,1,0.27
252,1,0.19
345,1,0.03
267,1,0.1
189,1,0.19
135,1,0.0
372,1,0.05
55,1,0.1
505,1,0.02
28,1,0.41
515,1,0.02
215,0,0.0
339,0,0.0
196,1,0.07
76,1,0.01
396,1,0.0
188,1,0.25
348,1,0.0
38,1,0.34
0,1,0.05
472,1,0.21
324,1,0.1
508,1,0.03
22,1,0.09
424,1,0.07
100,1,0.08
513,1,0.07
10,1,0.02
314,0,0.05
217,1,0.13
446,1,0.01
427,0,0.01
143,1,0.19
328,1,0.28
228,1,0.04
388,1,0.2
120,1,0.08
170,0,0.01
131,0,0.01
92,1,0.03
176,1,0.17
125,1,0.1
512,1,0.0
7,1,0.04
268,1,0.14
25,1,0.22
439,1,0.32
287,1,0.17
279,1,0.0
522,1,0.0
12,1,0.15
200,1,0.02
445,1,0.1
315,0,0.54
282,0,0.23
82,1,0.03
193,1,0.05
103,1,0.14
496,1,0.03
413,0,0.0
535,1,0.04
407,1,0.01
14,1,0.12
121,1,0.02
249,0,0.09
540,1,0.03
142,1,0.17
506,1,0.0
218,1,0.19
416,1,0.0
392,1,0.05
264,0,0.33
70,1,0.07
453,0,0.1
165,1,0.22
395,1,0.35
440,0,0.03
378,1,0.16
353,0,0.0
347,1,0.29
101,1,0.11
195,1,0.4
102,0,0.11
71,1,0.15
236,1,0.0
57,1,0.03
374,1,0.09
62,0,0.02
46,1,0.04
311,1,0.34
271,1,0.6
8,1,0.01
344,1,0.18
45,1,0.4
138,1,0.0
265,1,0.07
168,1,0.19
481,1,0.03
127,1,0.02
87,1,0.26
126,1,0.28
419,1,0.08
72,0,0.17
361,1,0.13
216,1,0.25
172,1,0.16
186,1,0.0
202,1,0.14
495,1,0.0
161,0,1.0
235,1,0.19
20,1,0.13
116,1,0.3
461,0,0.06
130,0,0.06
334,1,0.0
363,1,0.01
27,1,0.15
185,0,0.0
207,1,0.0
36,1,0.16
190,1,0.02
191,1,0.08
294,1,0.01
526,1,0.32
31,1,0.1
370,1,0.05
423,0,0.03
41,1,0.0
269,1,0.43
325,1,0.23
153,0,0.02
152,1,0.15
35,1,0.18
272,1,0.19
291,1,0.28
487,0,0.0
155,1,0.12
234,1,0.08
498,1,0.29
273,1,0.0
425,1,0.23
341,0,0.0
524,1,0.02
329,1,0.04
521,0,0.1
278,0,0.14
179,0,0.0
376,1,0.27
380,1,0.01
447,1,0.2
242,1,0.24
159,1,0.19
258,1,0.16
39,1,0.03
33,0,0.03
368,1,0.06
525,1,0.01
240,1,0.01
177,1,0.0
226,1,0.29
442,1,0.26
298,1,0.04
124,0,0.02
379,1,0.14
536,1,0.02
205,1,0.24
83,1,0.0
293,1,0.22
297,0,0.03
503,0,0.07
147,0,0.09
17,1,0.32
284,1,0.0
303,1,0.1
286,1,0.0
89,0,0.01
308,1,0.2
456,1,0.29
270,1,0.13
369,1,0.23
266,1,0.09
21,1,0.09
511,1,0.0
444,0,0.0
254,1,0.07
