id,subset,llm_correct,assessor_correct
165,math_algebra_hard,0,0.0
106,math_algebra_hard,0,0.0
204,math_algebra_hard,0,0.02
235,math_algebra_hard,0,0.0
249,math_algebra_hard,0,0.31
279,math_algebra_hard,0,0.05
8,math_algebra_hard,0,0.08
100,math_algebra_hard,0,0.15
88,math_algebra_hard,0,0.0
208,math_algebra_hard,0,0.04
74,math_algebra_hard,0,0.44
138,math_algebra_hard,0,0.04
305,math_algebra_hard,0,0.02
289,math_algebra_hard,0,0.18
189,math_algebra_hard,0,0.02
306,math_algebra_hard,0,0.04
120,math_algebra_hard,0,0.17
72,math_algebra_hard,0,0.22
117,math_algebra_hard,0,0.01
261,math_algebra_hard,0,0.02
71,math_algebra_hard,0,1.0
35,math_algebra_hard,0,0.04
34,math_algebra_hard,0,0.03
6,math_algebra_hard,0,0.31
192,math_algebra_hard,0,0.06
244,math_algebra_hard,0,0.08
129,math_algebra_hard,0,0.05
20,math_algebra_hard,0,0.0
150,math_algebra_hard,0,0.04
116,math_algebra_hard,0,0.03
275,math_algebra_hard,0,0.02
142,math_algebra_hard,0,0.01
130,math_algebra_hard,0,0.05
156,math_algebra_hard,0,0.0
247,math_algebra_hard,0,0.08
174,math_algebra_hard,0,0.07
285,math_algebra_hard,0,0.0
278,math_algebra_hard,0,0.65
36,math_algebra_hard,0,0.03
190,math_algebra_hard,0,0.0
217,math_algebra_hard,0,0.0
265,math_algebra_hard,0,0.23
296,math_algebra_hard,0,0.03
218,math_algebra_hard,0,0.0
14,math_algebra_hard,0,0.01
103,math_algebra_hard,0,0.02
273,math_algebra_hard,0,0.05
181,math_algebra_hard,0,0.03
222,math_algebra_hard,0,0.73
70,math_algebra_hard,0,0.02
4,math_algebra_hard,0,0.07
126,math_algebra_hard,0,0.12
239,math_algebra_hard,0,0.04
11,math_algebra_hard,0,0.0
77,math_algebra_hard,0,0.21
152,math_algebra_hard,0,0.02
27,math_algebra_hard,0,0.0
64,math_algebra_hard,0,0.04
94,math_algebra_hard,0,0.03
81,math_algebra_hard,0,0.05
7,math_algebra_hard,0,0.06
295,math_algebra_hard,0,0.05
109,math_algebra_hard,0,0.06
83,math_algebra_hard,0,0.0
141,math_algebra_hard,0,0.01
75,math_algebra_hard,0,0.09
33,math_algebra_hard,0,0.01
12,math_algebra_hard,0,0.0
242,math_algebra_hard,0,0.04
188,math_algebra_hard,0,0.03
91,math_algebra_hard,0,0.03
51,math_algebra_hard,0,0.0
62,math_algebra_hard,0,0.02
67,math_algebra_hard,0,0.0
125,math_algebra_hard,0,0.09
293,math_algebra_hard,0,0.09
226,math_algebra_hard,0,0.06
63,math_algebra_hard,0,0.1
133,math_algebra_hard,0,0.07
24,math_algebra_hard,0,0.24
234,math_algebra_hard,0,0.11
112,math_algebra_hard,0,0.04
302,math_algebra_hard,0,0.04
53,math_algebra_hard,0,0.02
57,math_algebra_hard,0,0.02
113,math_algebra_hard,0,0.05
176,math_algebra_hard,0,0.13
203,math_algebra_hard,0,0.1
46,math_algebra_hard,0,0.09
5,math_algebra_hard,0,0.03
286,math_algebra_hard,0,0.01
177,math_algebra_hard,0,0.47
270,math_algebra_hard,0,0.01
121,math_algebra_hard,0,0.53
41,math_algebra_hard,0,0.0
169,math_algebra_hard,0,0.08
13,math_algebra_hard,0,0.05
254,math_algebra_hard,0,0.03
50,math_algebra_hard,0,0.29
262,math_algebra_hard,0,0.06
300,math_algebra_hard,0,0.03
248,math_algebra_hard,0,0.02
304,math_algebra_hard,0,0.02
65,math_algebra_hard,0,0.01
80,math_algebra_hard,0,0.33
153,math_algebra_hard,0,0.13
246,math_algebra_hard,0,0.17
85,math_algebra_hard,0,0.03
180,math_algebra_hard,0,0.02
134,math_algebra_hard,0,0.08
58,math_algebra_hard,0,0.04
224,math_algebra_hard,0,0.01
284,math_algebra_hard,0,0.2
124,math_algebra_hard,0,0.0
179,math_algebra_hard,0,0.01
185,math_algebra_hard,0,0.02
290,math_algebra_hard,0,0.04
68,math_algebra_hard,0,0.04
60,math_algebra_hard,0,0.09
69,math_algebra_hard,0,0.0
147,math_algebra_hard,0,0.03
73,math_algebra_hard,0,0.02
136,math_algebra_hard,0,0.12
