id,prompt,target
0,"Find a movie similar to Batman, The Mask, The Fugitive, Pretty Woman:
Options:
(A) The Front Page
(B) Maelstrom
(C) The Lion King
(D) Lamerica",(C)
2,"Find a movie similar to Schindler's List, Braveheart, The Silence of the Lambs, Tombstone:
Options:
(A) Orlando
(B) Guilty of Romance
(C) Forrest Gump
(D) All the Real Girls",(C)
4,"Find a movie similar to Braveheart, The Mask, The Fugitive, Batman:
Options:
(A) Club Dread
(B) George Washington
(C) Schindler's List
(D) Once Upon a Time in America",(C)
6,"Find a movie similar to Raiders of the Lost Ark, The Shawshank Redemption, Inception, Pulp Fiction:
Options:
(A) Beyond the Poseidon Adventure
(B) The Chorus
(C) Forrest Gump
(D) Scouts Guide to the Zombie Apocalypse",(C)
8,"Find a movie similar to Jurassic Park, The Silence of the Lambs, Schindler's List, Braveheart:
Options:
(A) A Hard Day's Night
(B) Showtime
(C) Forrest Gump
(D) Eddie the Eagle",(C)
10,"Find a movie similar to Forrest Gump, Pulp Fiction, The Fugitive, Dances with Wolves:
Options:
(A) Dragonheart 3 The Sorcerer's Curse
(B) Chi-Raq
(C) Stargate
(D) Tae Guk Gi The Brotherhood of War",(C)
12,"Find a movie similar to Forrest Gump, The Silence of the Lambs, Mission Impossible, Jurassic Park:
Options:
(A) Joe Somebody
(B) Dogfight
(C) Independence Day
(D) Twin Peaks Fire Walk with Me",(C)
14,"Find a movie similar to The Fugitive, Pulp Fiction, The Usual Suspects, Terminator 2 Judgment Day:
Options:
(A) The Amazing Panda Adventure
(B) Sweeney Todd
(C) Welcome to Sarajevo
(D) Seven",(D)
16,"Find a movie similar to Pulp Fiction, Braveheart, The Shawshank Redemption, Crimson Tide:
Options:
(A) Goon Last of the Enforcers
(B) A Very Harold & Kumar 3D Christmas
(C) The Fugitive
(D) A Separation",(C)
18,"Find a movie similar to Pulp Fiction, The Shawshank Redemption, Schindler's List, Dances with Wolves:
Options:
(A) Easter Parade
(B) Captain America The First Avenger
(C) Braveheart
(D) Manic",(C)
20,"Find a movie similar to The Shawshank Redemption, Forrest Gump, Dances with Wolves, Mr Holland's Opus:
Options:
(A) PK
(B) The Great Gatsby
(C) Philadelphia
(D) Casper Meets Wendy",(C)
22,"Find a movie similar to Star Wars Episode VII - The Force Awakens, Inside Out, Pulp Fiction, Raiders of the Lost Ark:
Options:
(A) Ernest Rides Again
(B) Forrest Gump
(C) The Proposal
(D) Everything You Always Wanted to Know About Sex  But Were Afraid to Ask",(B)
24,"Find a movie similar to Star Wars Episode V - The Empire Strikes Back, Groundhog Day, Mission Impossible, Star Wars Episode IV - A New Hope:
Options:
(A) View from the Top
(B) The Doors
(C) Raiders of the Lost Ark
(D) Quick Change",(C)
26,"Find a movie similar to Apollo 13, Jurassic Park, Die Hard With a Vengeance, Forrest Gump:
Options:
(A) Killer Movie
(B) Stealth
(C) The Last Man on Earth
(D) True Lies",(D)
28,"Find a movie similar to Toy Story, The Mask, Batman, The Lion King:
Options:
(A) Exit Wounds
(B) Punch-Drunk Love
(C) Seeking Justice
(D) Pretty Woman",(D)
30,"Find a movie similar to Independence Day, The Silence of the Lambs, Indiana Jones and the Temple of Doom, Fargo:
Options:
(A) Care Bears Movie II A New Generation
(B) Noises Off
(C) The Fugitive
(D) Lights Out",(C)
32,"Find a movie similar to The Fugitive, Braveheart, Schindler's List, The Lion King:
Options:
(A) Mad City
(B) The Scorpion King
(C) The Shawshank Redemption
(D) City of Men",(C)
34,"Find a movie similar to The Sixth Sense, The Lord of the Rings The Two Towers, The Usual Suspects, Forrest Gump:
Options:
(A) Nothing to Declare
(B) Crossfire
(C) End of Days
(D) Star Wars Episode IV - A New Hope",(D)
36,"Find a movie similar to Pulp Fiction, The Fugitive, The Shawshank Redemption, Dances with Wolves:
Options:
(A) All Over the Guy
(B) Forrest Gump
(C) Elizabethtown
(D) The Bride of Frankenstein",(B)
38,"Find a movie similar to Pulp Fiction, The Shawshank Redemption, Aladdin, The Lion King:
Options:
(A) Terminator 2 Judgment Day
(B) The Next Three Days
(C) Detachment
(D) Ruby Sparks",(A)
40,"Find a movie similar to Braveheart, Pulp Fiction, Saving Private Ryan, Gattaca:
Options:
(A) Brave
(B) Dredd
(C) When Worlds Collide
(D) Go",(D)
42,"Find a movie similar to Dances with Wolves, The Lion King, The Fugitive, The Shawshank Redemption:
Options:
(A) Schindler's List
(B) Day for Night
(C) Man of the House
(D) The Neon Demon",(A)
44,"Find a movie similar to Stargate, The Fugitive, Pulp Fiction, Dances with Wolves:
Options:
(A) Forrest Gump
(B) Kevin Smith Too Fat For 40
(C) Scorched
(D) Stand and Deliver",(A)
46,"Find a movie similar to Snow White and the Seven Dwarfs, The Secret Garden, Beauty and the Beast, The Lion King:
Options:
(A) The Thing
(B) Pinocchio
(C) Nymphomaniac Volume I
(D) Lights in the Dusk",(B)
48,"Find a movie similar to Batman, The Mask, The Lion King, Pretty Woman:
Options:
(A) Los Angeles Plays Itself
(B) Gintama The Final Chapter - Be Forever Yorozuya
(C) Doctor Who Last Christmas
(D) The Fugitive",(D)
50,"Find a movie similar to American Beauty, Austin Powers International Man of Mystery, Star Wars Episode V - The Empire Strikes Back, Mission Impossible:
Options:
(A) Dragon Ball The Curse Of The Blood Rubies
(B) Moonlight Mile
(C) Hollywood Homicide
(D) Star Wars Episode IV - A New Hope",(D)
52,"Find a movie similar to Braveheart, The Usual Suspects, Crimson Tide, The Fugitive:
Options:
(A) Get Shorty
(B) The Firm
(C) Pillow Talk
(D) Hairspray",(A)
54,"Find a movie similar to Batman, Independence Day, Jurassic Park, Forrest Gump:
Options:
(A) Pleasantville
(B) The Mask
(C) To Catch a Thief
(D) Microwave Massacre",(B)
56,"Find a movie similar to Star Wars Episode V - The Empire Strikes Back, Independence Day, Terminator 2 Judgment Day, Star Wars Episode VI - Return of the Jedi:
Options:
(A) High School
(B) Pushing Tin
(C) What Happened
(D) Miss Simone
(E) Back to the Future",(E)
58,"Find a movie similar to Forrest Gump, Star Wars Episode VI - Return of the Jedi, Back to the Future, The Matrix:
Options:
(A) Out of the Past
(B) Sleeping with the Enemy
(C) Independence Day
(D) Ghost in the Shell Arise - Border 2 Ghost Whispers",(C)
60,"Find a movie similar to The Usual Suspects, Braveheart, Pulp Fiction, Schindler's List:
Options:
(A) The Cabinet of Dr Caligari
(B) The Shawshank Redemption
(C) Spider-Man 2
(D) Taxi",(B)
62,"Find a movie similar to The Fugitive, Schindler's List, Braveheart, The Mask:
Options:
(A) The Real McCoy
(B) Batman
(C) Master and Commander The Far Side of the World
(D) Supercop",(B)
64,"Find a movie similar to The Wizard of Oz, The Big Lebowski, Being John Malkovich, Run Lola Run:
Options:
(A) Dragon Ball Z Dead Zone
(B) Lightning in a Bottle
(C) The Omega Man
(D) Goodfellas",(D)
66,"Find a movie similar to Pulp Fiction, Forrest Gump, Inside Out, Edge of Tomorrow:
Options:
(A) 1984
(B) Good Night
(C) and Good Luck
(D) Kiss of the Dragon
(E) District 9",(E)
68,"Find a movie similar to Pulp Fiction, Forrest Gump, Terminator 2 Judgment Day, Braveheart:
Options:
(A) Ruby & Quentin
(B) Insidious Chapter 3
(C) Fast Times at Ridgemont High
(D) The Fugitive",(D)
70,"Find a movie similar to American Beauty, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back, Forrest Gump:
Options:
(A) Cargo
(B) Neon Bull
(C) Jeffrey
(D) The Silence of the Lambs",(D)
72,"Find a movie similar to Léon The Professional, The Matrix, Forrest Gump, Pulp Fiction:
Options:
(A) Romper Stomper
(B) Fame
(C) Up
(D) The Browning Version",(C)
74,"Find a movie similar to The Shawshank Redemption, Forrest Gump, Dances with Wolves, The Fugitive:
Options:
(A) Pulp Fiction
(B) The Girl on the Bridge
(C) Radioland Murders
(D) Father of the Bride",(A)
76,"Find a movie similar to Braveheart, Pretty Woman, Schindler's List, Apollo 13:
Options:
(A) Bad Taste
(B) My Big Fat Greek Wedding 2
(C) The Santa Clause 2
(D) Dances with Wolves",(D)
78,"Find a movie similar to The Lion King, Toy Story, The Fugitive, Aladdin:
Options:
(A) Experimenter
(B) Highway 61
(C) Terminator 2 Judgment Day
(D) Short Circuit 2",(C)
80,"Find a movie similar to American Beauty, Goodfellas, The Silence of the Lambs, Star Wars Episode IV - A New Hope:
Options:
(A) Christmas in Connecticut
(B) The Princess Bride
(C) Bill & Ted's Bogus Journey
(D) Melvin and Howard",(B)
