id,subset,llm_correct,assessor_correct
165,math_algebra_hard,0,0.0
106,math_algebra_hard,0,0.06
204,math_algebra_hard,0,0.05
235,math_algebra_hard,0,0.02
249,math_algebra_hard,0,0.23
279,math_algebra_hard,0,0.08
8,math_algebra_hard,0,0.03
100,math_algebra_hard,0,0.12
88,math_algebra_hard,0,0.03
208,math_algebra_hard,0,0.08
74,math_algebra_hard,0,0.2
138,math_algebra_hard,0,0.03
305,math_algebra_hard,0,0.04
289,math_algebra_hard,0,0.09
189,math_algebra_hard,0,0.05
306,math_algebra_hard,0,0.02
120,math_algebra_hard,0,0.15
72,math_algebra_hard,0,0.1
117,math_algebra_hard,0,0.1
261,math_algebra_hard,0,0.04
71,math_algebra_hard,0,1.0
35,math_algebra_hard,0,0.06
34,math_algebra_hard,0,0.02
6,math_algebra_hard,0,0.2
192,math_algebra_hard,0,0.04
244,math_algebra_hard,0,0.04
129,math_algebra_hard,0,0.02
20,math_algebra_hard,0,0.0
150,math_algebra_hard,0,0.02
116,math_algebra_hard,0,0.03
275,math_algebra_hard,0,0.11
142,math_algebra_hard,0,0.02
130,math_algebra_hard,0,0.04
156,math_algebra_hard,0,0.03
247,math_algebra_hard,0,0.01
174,math_algebra_hard,0,0.06
285,math_algebra_hard,0,0.0
278,math_algebra_hard,0,0.45
36,math_algebra_hard,0,0.02
190,math_algebra_hard,0,0.0
217,math_algebra_hard,0,0.0
265,math_algebra_hard,0,0.15
296,math_algebra_hard,0,0.06
218,math_algebra_hard,0,0.0
14,math_algebra_hard,0,0.07
103,math_algebra_hard,0,0.11
273,math_algebra_hard,0,0.11
181,math_algebra_hard,0,0.1
222,math_algebra_hard,0,0.53
70,math_algebra_hard,0,0.05
4,math_algebra_hard,0,0.05
126,math_algebra_hard,0,0.04
239,math_algebra_hard,0,0.1
11,math_algebra_hard,0,0.01
77,math_algebra_hard,0,0.21
152,math_algebra_hard,0,0.01
27,math_algebra_hard,0,0.01
64,math_algebra_hard,0,0.09
94,math_algebra_hard,0,0.07
81,math_algebra_hard,0,0.07
7,math_algebra_hard,0,0.02
295,math_algebra_hard,0,0.03
109,math_algebra_hard,0,0.03
83,math_algebra_hard,0,0.03
141,math_algebra_hard,0,0.01
75,math_algebra_hard,0,0.11
33,math_algebra_hard,0,0.02
12,math_algebra_hard,0,0.0
242,math_algebra_hard,0,0.03
188,math_algebra_hard,0,0.03
91,math_algebra_hard,0,0.07
51,math_algebra_hard,0,0.01
62,math_algebra_hard,0,0.07
67,math_algebra_hard,0,0.02
125,math_algebra_hard,0,0.06
293,math_algebra_hard,0,0.02
226,math_algebra_hard,0,0.06
63,math_algebra_hard,0,0.1
133,math_algebra_hard,0,0.09
24,math_algebra_hard,0,0.15
234,math_algebra_hard,0,0.05
112,math_algebra_hard,0,0.03
302,math_algebra_hard,0,0.06
53,math_algebra_hard,0,0.07
57,math_algebra_hard,0,0.02
113,math_algebra_hard,0,0.07
176,math_algebra_hard,0,0.13
203,math_algebra_hard,0,0.31
46,math_algebra_hard,0,0.13
5,math_algebra_hard,0,0.03
286,math_algebra_hard,0,0.02
177,math_algebra_hard,0,0.27
270,math_algebra_hard,0,0.02
121,math_algebra_hard,0,0.6
41,math_algebra_hard,0,0.02
169,math_algebra_hard,0,0.03
13,math_algebra_hard,0,0.01
254,math_algebra_hard,0,0.05
50,math_algebra_hard,0,0.17
262,math_algebra_hard,0,0.09
300,math_algebra_hard,0,0.01
248,math_algebra_hard,0,0.07
304,math_algebra_hard,0,0.02
65,math_algebra_hard,0,0.0
80,math_algebra_hard,0,0.15
153,math_algebra_hard,0,0.26
246,math_algebra_hard,0,0.1
85,math_algebra_hard,0,0.04
180,math_algebra_hard,0,0.0
134,math_algebra_hard,0,0.09
58,math_algebra_hard,0,0.04
224,math_algebra_hard,0,0.0
284,math_algebra_hard,0,0.05
124,math_algebra_hard,0,0.07
179,math_algebra_hard,0,0.09
185,math_algebra_hard,0,0.01
290,math_algebra_hard,0,0.01
68,math_algebra_hard,0,0.05
60,math_algebra_hard,0,0.12
69,math_algebra_hard,0,0.0
147,math_algebra_hard,0,0.05
73,math_algebra_hard,0,0.07
136,math_algebra_hard,0,0.15
267,math_algebra_hard,0,0.02
122,math_algebra_hard,0,0.09
175,math_algebra_hard,0,0.02
230,math_algebra_hard,0,0.0
17,math_algebra_hard,0,0.09
216,math_algebra_hard,0,0.06
297,math_algebra_hard,0,0.04
209,math_algebra_hard,0,0.11
32,math_algebra_hard,0,0.23
16,math_algebra_hard,0,0.05
292,math_algebra_hard,0,0.0
259,math_algebra_hard,0,0.04
276,math_algebra_hard,0,0.01
30,math_algebra_hard,0,0.07
258,math_algebra_hard,0,0.03
257,math_algebra_hard,0,0.01
23,math_algebra_hard,0,0.0
232,math_algebra_hard,0,0.06
123,math_algebra_hard,0,0.0
110,math_algebra_hard,0,0.05
49,math_algebra_hard,0,0.07
211,math_algebra_hard,0,0.04
268,math_algebra_hard,0,0.05
243,math_algebra_hard,0,0.08
213,math_algebra_hard,0,0.04
93,math_algebra_hard,0,0.06
139,math_algebra_hard,0,0.1
102,math_algebra_hard,0,0.05
2,math_algebra_hard,0,0.17
54,math_algebra_hard,0,0.03
274,math_algebra_hard,0,0.1
245,math_algebra_hard,0,0.07
171,math_algebra_hard,0,0.0
52,math_algebra_hard,0,0.01
210,math_algebra_hard,0,0.03
135,math_algebra_hard,0,0.08
137,math_algebra_hard,0,0.03
131,math_algebra_hard,0,0.13
201,math_algebra_hard,0,0.01
207,math_algebra_hard,0,0.03
159,math_algebra_hard,0,0.07
240,math_algebra_hard,0,0.07
184,math_algebra_hard,0,0.17
105,math_algebra_hard,0,0.09
178,math_algebra_hard,0,0.02
97,math_algebra_hard,0,0.03
280,math_algebra_hard,0,0.0
266,math_algebra_hard,0,0.08
140,math_algebra_hard,0,0.03
212,math_algebra_hard,0,0.42
