id,prompt,target
0,"Which sentence has the correct adjective order:
Options:
(A) midsize old grey Brazilian sweater
(B) midsize grey Brazilian old sweater",(A)
2,"Which sentence has the correct adjective order:
Options:
(A) mysterious big Indian iron smoking motorcycle
(B) big smoking mysterious Indian iron motorcycle",(A)
4,"Which sentence has the correct adjective order:
Options:
(A) pyramidal American glass exercise surfboard
(B) glass exercise American pyramidal surfboard",(A)
6,"Which sentence has the correct adjective order:
Options:
(A) tan silly old-fashioned dog
(B) silly old-fashioned tan dog",(B)
8,"Which sentence has the correct adjective order:
Options:
(A) medium-size archaic prismlike purple American car
(B) archaic purple prismlike American medium-size car",(A)
10,"Which sentence has the correct adjective order:
Options:
(A) good pyramidal grey Indian cloth computer
(B) good pyramidal cloth Indian grey computer",(A)
12,"Which sentence has the correct adjective order:
Options:
(A) Pakistani normal-size white paper good snorkeling monkey
(B) good normal-size white Pakistani paper snorkeling monkey",(B)
14,"Which sentence has the correct adjective order:
Options:
(A) nice American computer
(B) American nice computer",(A)
16,"Which sentence has the correct adjective order:
Options:
(A) enormous yellow Egyptian monkey
(B) enormous Egyptian yellow monkey",(A)
18,"Which sentence has the correct adjective order:
Options:
(A) leather wonderful Pakistani white medium-size monkey
(B) wonderful medium-size white Pakistani leather monkey",(B)
20,"Which sentence has the correct adjective order:
Options:
(A) wonderful big circular orange Pakistani smoking car
(B) circular wonderful smoking Pakistani big orange car",(A)
22,"Which sentence has the correct adjective order:
Options:
(A) new white lead walking surfboard
(B) walking lead new white surfboard",(A)
24,"Which sentence has the correct adjective order:
Options:
(A) new leather big triangular American chair
(B) big new triangular American leather chair",(B)
26,"Which sentence has the correct adjective order:
Options:
(A) silly midsize tan computer
(B) midsize silly tan computer",(A)
28,"Which sentence has the correct adjective order:
Options:
(A) enormous brand-new German drinking motorcycle
(B) brand-new drinking German enormous motorcycle",(A)
30,"Which sentence has the correct adjective order:
Options:
(A) small grey square cloth Japanese shoe
(B) small square grey Japanese cloth shoe",(B)
32,"Which sentence has the correct adjective order:
Options:
(A) American triangular computer
(B) triangular American computer",(B)
34,"Which sentence has the correct adjective order:
Options:
(A) snorkeling iron prismlike orange midsize knife
(B) midsize prismlike orange iron snorkeling knife",(B)
36,"Which sentence has the correct adjective order:
Options:
(A) Indonesian triangular obnoxious gold red shoe
(B) obnoxious triangular red Indonesian gold shoe",(B)
38,"Which sentence has the correct adjective order:
Options:
(A) midsize whittling gray nice baby
(B) nice midsize gray whittling baby",(B)
40,"Which sentence has the correct adjective order:
Options:
(A) midsize old pyramidal American monkey
(B) American old midsize pyramidal monkey",(A)
42,"Which sentence has the correct adjective order:
Options:
(A) Russian steel awful chair
(B) awful Russian steel chair",(B)
44,"Which sentence has the correct adjective order:
Options:
(A) walking black medium-size rectangular wonderful car
(B) wonderful medium-size rectangular black walking car",(B)
46,"Which sentence has the correct adjective order:
Options:
(A) triangular yellow old awful motorcycle
(B) awful old triangular yellow motorcycle",(B)
48,"Which sentence has the correct adjective order:
Options:
(A) terrible midsize snorkeling baby
(B) terrible snorkeling midsize baby",(A)
50,"Which sentence has the correct adjective order:
Options:
(A) drinking Brazilian lovely triangular monkey
(B) lovely triangular Brazilian drinking monkey",(B)
52,"Which sentence has the correct adjective order:
Options:
(A) enormous spherical Indian drinking sock
(B) drinking enormous spherical Indian sock",(A)
54,"Which sentence has the correct adjective order:
Options:
(A) terrible old-fashioned Turkish baby
(B) old-fashioned terrible Turkish baby",(A)
56,"Which sentence has the correct adjective order:
Options:
(A) cloth hiking huge old-fashioned shoe
(B) huge old-fashioned cloth hiking shoe",(B)
58,"Which sentence has the correct adjective order:
Options:
(A) massive old-fashioned triangular pink cat
(B) old-fashioned pink massive triangular cat",(A)
60,"Which sentence has the correct adjective order:
Options:
(A) old-fashioned white Russian iron computer
(B) old-fashioned Russian white iron computer",(A)
62,"Which sentence has the correct adjective order:
Options:
(A) fiberglass large tan car
(B) large tan fiberglass car",(B)
