id,llm_correct,assessor_correct
342,1,0.34
451,0,1.0
418,1,0.04
253,1,0.37
310,1,0.03
145,1,0.01
212,1,0.07
397,1,0.03
257,1,0.03
527,1,0.36
534,1,0.21
283,1,0.33
455,0,0.47
109,1,0.08
225,1,0.1
79,1,0.24
222,1,0.05
110,1,0.04
471,1,0.07
364,1,0.36
384,1,0.22
29,1,0.34
104,1,0.1
65,1,0.2
523,0,0.35
390,1,0.0
261,0,0.24
319,0,0.06
467,0,0.02
175,1,0.07
519,1,0.46
510,1,0.0
302,1,0.45
411,1,0.28
317,0,0.26
305,1,0.0
84,1,0.01
194,1,0.25
53,0,0.05
433,1,0.15
335,1,0.0
166,1,0.12
478,0,1.0
48,0,0.01
330,1,0.25
296,0,0.07
299,1,0.46
340,1,0.09
450,0,0.16
97,0,0.0
415,1,0.16
275,0,0.0
454,0,0.01
156,0,0.0
133,1,0.01
157,1,0.1
357,1,0.02
280,1,0.04
484,1,0.07
509,0,0.07
181,0,0.04
174,1,0.13
9,0,0.01
113,1,0.02
466,0,0.0
386,1,0.09
163,0,0.01
164,1,0.15
173,1,0.34
292,1,0.32
277,0,0.03
6,1,0.08
306,1,0.14
532,1,0.0
108,1,0.24
358,1,0.04
387,1,0.0
404,1,0.0
19,1,0.04
490,1,0.34
180,0,0.03
23,0,0.04
326,0,0.0
285,1,0.02
432,1,0.1
241,1,0.0
16,1,0.23
441,1,0.19
371,0,0.04
123,1,0.12
136,1,0.06
320,1,0.0
351,1,0.11
24,1,0.04
276,1,0.0
421,1,0.0
398,0,0.0
530,1,0.0
96,1,0.07
366,1,0.12
408,1,0.0
436,1,0.0
516,1,0.23
252,1,0.03
345,1,0.02
267,1,0.1
189,1,0.16
135,1,0.0
372,1,0.03
55,1,0.0
505,1,0.0
28,1,0.13
515,1,0.0
215,0,0.05
339,0,0.02
196,1,0.05
76,0,0.01
396,1,0.0
188,1,0.22
348,1,0.01
38,1,0.18
0,1,0.04
472,0,0.08
324,1,0.12
508,1,0.04
22,0,0.1
424,1,0.0
100,1,0.01
513,1,0.05
10,1,0.0
314,1,0.0
217,1,0.16
446,1,0.07
427,1,0.07
143,1,0.11
328,1,0.24
228,1,0.08
388,1,0.2
120,1,0.1
170,0,0.0
131,0,0.0
92,1,0.0
176,1,0.04
125,0,0.09
512,1,0.0
7,0,0.0
268,1,0.03
25,1,0.09
439,1,0.32
287,0,0.02
279,1,0.0
522,1,0.02
12,0,0.69
200,1,0.0
445,1,0.09
315,1,0.3
282,1,0.23
82,1,0.03
193,1,0.04
103,0,0.13
496,1,0.04
413,0,0.0
535,1,0.0
407,1,0.0
14,1,0.03
121,1,0.01
249,1,0.14
540,1,0.3
142,1,0.22
506,1,0.0
218,1,0.24
416,0,0.0
392,1,0.15
264,0,0.14
70,1,0.03
453,0,0.16
165,1,0.16
395,0,0.09
440,0,0.06
378,1,0.12
353,1,0.0
347,1,0.12
101,1,0.12
195,1,0.26
102,1,0.15
71,1,0.08
236,1,0.0
57,1,0.01
374,1,0.07
62,0,0.14
46,1,0.01
311,0,0.24
271,1,0.58
8,1,0.0
344,1,0.14
45,1,0.42
138,1,0.0
