id,llm_correct,assessor_correct
5916,1,0.51
9000,1,0.22
567,1,0.3
8695,1,0.29
6076,1,0.04
1834,1,0.47
4754,0,0.31
3775,1,0.38
2721,1,0.32
4071,1,0.36
5982,1,0.53
9017,1,0.24
7139,0,0.44
4800,1,0.48
8867,1,0.47
6357,1,0.36
4592,1,0.8
7473,0,0.1
7103,1,0.35
11301,1,0.59
3516,0,0.31
1507,0,0.4
4970,1,0.66
8127,1,0.26
1214,0,0.21
2158,1,0.45
10895,0,0.06
4107,0,0.27
11436,1,0.43
2820,1,0.43
3676,0,0.43
8798,1,0.16
9120,1,0.21
5176,1,0.19
10775,1,0.49
4690,1,0.47
11223,1,0.0
6317,1,0.78
88,1,0.24
6625,1,0.0
5409,0,0.31
6332,0,0.55
8044,1,0.42
8378,1,0.41
278,1,0.29
352,1,0.37
8485,0,0.24
7838,1,0.29
8311,1,0.26
10228,1,0.35
11545,1,0.2
49,1,0.64
1148,0,0.89
7215,1,0.78
8507,1,0.48
3106,1,0.46
9439,0,0.53
2045,1,0.44
8279,1,0.15
11227,0,0.44
8495,1,0.32
2791,1,0.0
4804,0,0.28
2185,1,0.37
4827,0,0.03
18,1,0.2
7969,1,0.34
3157,0,0.17
8646,0,0.09
2295,1,0.81
1599,0,0.43
4233,1,0.31
2048,1,0.27
4858,1,0.39
9436,0,1.0
11639,1,0.36
6777,1,0.51
4503,1,0.13
11598,1,0.64
4312,1,0.17
7891,1,0.27
3978,1,0.28
2437,0,0.17
220,1,0.21
10101,1,0.46
6776,1,0.89
3428,0,0.54
10991,1,0.39
1501,0,0.47
10160,1,0.23
6678,0,0.06
1775,0,0.55
6175,1,0.29
7322,1,0.4
2231,0,0.14
1553,1,0.38
11940,1,0.21
10050,1,0.5
3255,1,0.45
10862,1,0.64
8076,1,0.16
7545,1,0.16
3056,1,0.45
1419,1,0.27
7581,1,0.32
8940,1,0.19
6346,1,0.0
10347,1,0.35
2339,1,0.3
6035,0,0.19
11934,0,0.47
3587,0,0.11
370,1,0.45
8501,1,0.2
8718,1,0.11
3539,1,0.32
11216,1,0.25
2258,1,0.36
11526,1,0.3
8928,1,0.79
11626,0,0.34
6669,1,0.46
5476,1,0.23
1843,0,0.41
4066,1,0.53
2335,0,0.05
10325,1,0.33
434,1,0.22
2617,1,0.46
6963,1,0.68
9299,1,0.0
372,1,0.27
7723,0,0.38
2276,1,0.79
6641,1,0.24
2420,1,0.31
6354,1,0.16
7089,0,0.32
9638,1,0.35
230,1,0.07
10819,1,0.5
3555,1,0.0
10112,0,0.56
11850,0,0.03
214,0,0.34
5304,1,0.33
4221,0,0.16
8712,1,0.35
417,1,0.31
3844,1,0.42
1771,0,0.56
2815,0,0.13
781,0,0.42
7186,1,0.62
5454,0,0.18
9714,0,0.24
6314,1,0.44
4367,0,1.0
8170,1,0.24
7520,1,0.35
128,0,0.26
97,1,0.11
5746,1,0.36
2142,1,0.56
7478,1,0.31
5411,1,0.21
