id,subset,llm_correct,assessor_correct
165,math_algebra_hard,0,0.0
106,math_algebra_hard,0,0.01
204,math_algebra_hard,0,0.03
235,math_algebra_hard,0,0.0
249,math_algebra_hard,0,0.08
279,math_algebra_hard,0,0.07
8,math_algebra_hard,0,0.08
100,math_algebra_hard,0,0.06
88,math_algebra_hard,0,0.0
208,math_algebra_hard,0,0.05
74,math_algebra_hard,0,0.23
138,math_algebra_hard,0,0.0
305,math_algebra_hard,0,0.03
289,math_algebra_hard,0,0.01
189,math_algebra_hard,1,0.12
306,math_algebra_hard,0,0.07
120,math_algebra_hard,0,0.06
72,math_algebra_hard,0,0.0
117,math_algebra_hard,0,0.01
261,math_algebra_hard,0,0.02
71,math_algebra_hard,0,1.0
35,math_algebra_hard,0,0.03
34,math_algebra_hard,0,0.03
6,math_algebra_hard,0,0.08
192,math_algebra_hard,0,0.05
244,math_algebra_hard,0,0.02
129,math_algebra_hard,0,0.02
20,math_algebra_hard,0,0.0
150,math_algebra_hard,0,0.03
116,math_algebra_hard,0,0.05
275,math_algebra_hard,0,0.02
142,math_algebra_hard,0,0.02
130,math_algebra_hard,0,0.07
156,math_algebra_hard,0,0.04
247,math_algebra_hard,0,0.02
174,math_algebra_hard,0,0.11
285,math_algebra_hard,0,0.0
278,math_algebra_hard,0,0.08
36,math_algebra_hard,1,0.25
190,math_algebra_hard,0,0.0
217,math_algebra_hard,0,0.0
265,math_algebra_hard,0,0.05
296,math_algebra_hard,0,0.1
218,math_algebra_hard,0,0.03
14,math_algebra_hard,0,0.02
103,math_algebra_hard,0,0.01
273,math_algebra_hard,0,0.11
181,math_algebra_hard,0,0.01
222,math_algebra_hard,0,0.19
70,math_algebra_hard,0,0.04
4,math_algebra_hard,0,0.05
126,math_algebra_hard,0,0.03
239,math_algebra_hard,0,0.03
11,math_algebra_hard,0,0.0
77,math_algebra_hard,0,0.17
152,math_algebra_hard,0,0.03
27,math_algebra_hard,0,0.0
64,math_algebra_hard,0,0.06
94,math_algebra_hard,0,0.04
81,math_algebra_hard,0,0.05
7,math_algebra_hard,0,0.04
295,math_algebra_hard,0,0.05
109,math_algebra_hard,0,0.05
83,math_algebra_hard,0,0.02
141,math_algebra_hard,0,0.0
75,math_algebra_hard,0,0.04
33,math_algebra_hard,0,0.04
12,math_algebra_hard,0,0.0
242,math_algebra_hard,0,0.1
188,math_algebra_hard,0,0.02
91,math_algebra_hard,0,0.05
51,math_algebra_hard,1,0.01
62,math_algebra_hard,1,0.06
67,math_algebra_hard,0,0.01
125,math_algebra_hard,0,0.0
293,math_algebra_hard,0,0.05
226,math_algebra_hard,0,0.09
63,math_algebra_hard,0,0.09
133,math_algebra_hard,0,0.01
24,math_algebra_hard,0,0.14
234,math_algebra_hard,0,0.0
112,math_algebra_hard,0,0.05
302,math_algebra_hard,0,0.03
53,math_algebra_hard,0,0.02
57,math_algebra_hard,0,0.01
113,math_algebra_hard,0,0.01
176,math_algebra_hard,0,0.13
203,math_algebra_hard,1,0.23
46,math_algebra_hard,0,0.04
5,math_algebra_hard,0,0.09
286,math_algebra_hard,0,0.03
177,math_algebra_hard,0,0.31
270,math_algebra_hard,0,0.01
121,math_algebra_hard,0,0.33
41,math_algebra_hard,0,0.03
169,math_algebra_hard,0,0.06
13,math_algebra_hard,0,0.03
254,math_algebra_hard,0,0.04
50,math_algebra_hard,0,0.29
262,math_algebra_hard,0,0.03
300,math_algebra_hard,0,0.07
248,math_algebra_hard,0,0.07
304,math_algebra_hard,0,0.03
65,math_algebra_hard,0,0.02
80,math_algebra_hard,0,0.11
153,math_algebra_hard,0,0.07
246,math_algebra_hard,0,0.05
85,math_algebra_hard,0,0.03
180,math_algebra_hard,0,0.03
134,math_algebra_hard,0,0.13
58,math_algebra_hard,0,0.02
224,math_algebra_hard,0,0.07
284,math_algebra_hard,0,0.03
124,math_algebra_hard,0,0.07
179,math_algebra_hard,0,0.06
185,math_algebra_hard,0,0.01
290,math_algebra_hard,0,0.05
68,math_algebra_hard,1,0.1
60,math_algebra_hard,0,0.03
69,math_algebra_hard,0,0.0
147,math_algebra_hard,0,0.07
73,math_algebra_hard,0,0.03
136,math_algebra_hard,0,0.12
267,math_algebra_hard,0,0.03
122,math_algebra_hard,0,0.05
175,math_algebra_hard,0,0.02
230,math_algebra_hard,0,0.01
17,math_algebra_hard,0,0.21
216,math_algebra_hard,0,0.05
297,math_algebra_hard,0,0.12
209,math_algebra_hard,1,0.24
32,math_algebra_hard,0,0.13
16,math_algebra_hard,0,0.02
292,math_algebra_hard,0,0.0
259,math_algebra_hard,0,0.03
276,math_algebra_hard,0,0.01
30,math_algebra_hard,0,0.05
258,math_algebra_hard,1,0.2
257,math_algebra_hard,0,0.04
23,math_algebra_hard,0,0.0
232,math_algebra_hard,0,0.0
123,math_algebra_hard,0,0.0
110,math_algebra_hard,0,0.03
49,math_algebra_hard,0,0.06
211,math_algebra_hard,0,0.01
268,math_algebra_hard,0,0.0
243,math_algebra_hard,0,0.05
213,math_algebra_hard,0,0.03
93,math_algebra_hard,0,0.02
139,math_algebra_hard,1,0.0
102,math_algebra_hard,0,0.02
2,math_algebra_hard,0,0.03
54,math_algebra_hard,0,0.05
274,math_algebra_hard,0,0.13
245,math_algebra_hard,0,0.05
171,math_algebra_hard,0,0.01
52,math_algebra_hard,0,0.04
210,math_algebra_hard,0,0.03
135,math_algebra_hard,0,0.05
137,math_algebra_hard,0,0.02
131,math_algebra_hard,0,0.08
201,math_algebra_hard,0,0.0
207,math_algebra_hard,0,0.07
159,math_algebra_hard,0,0.01
240,math_algebra_hard,0,0.04
184,math_algebra_hard,0,0.05
105,math_algebra_hard,0,0.04
178,math_algebra_hard,0,0.04
97,math_algebra_hard,0,0.09
280,math_algebra_hard,0,0.07
266,math_algebra_hard,0,0.08
140,math_algebra_hard,0,0.04
212,math_algebra_hard,0,0.08
154,math_algebra_hard,0,0.08
221,math_algebra_hard,0,0.03
18,math_algebra_hard,0,1.0
149,math_algebra_hard,0,0.08
158,math_algebra_hard,0,0.01
15,math_algebra_hard,1,0.04
98,math_algebra_hard,0,0.0
118,math_algebra_hard,0,0.02
238,math_algebra_hard,0,0.16
281,math_algebra_hard,0,0.02
183,math_algebra_hard,0,0.04
59,math_algebra_hard,0,0.13
219,math_algebra_hard,0,0.0
298,math_algebra_hard,0,0.01
202,math_algebra_hard,0,0.02
1,math_algebra_hard,0,0.14
294,math_algebra_hard,0,0.04
22,math_algebra_hard,0,0.0
143,math_algebra_hard,0,0.04
119,math_algebra_hard,0,0.02
269,math_algebra_hard,0,0.05
198,math_algebra_hard,0,0.0
90,math_algebra_hard,0,0.1
40,math_algebra_hard,0,0.08
166,math_algebra_hard,0,0.0
21,math_algebra_hard,0,0.06
155,math_algebra_hard,0,0.01
82,math_algebra_hard,0,0.01
252,math_algebra_hard,0,0.02
282,math_algebra_hard,0,0.0
84,math_algebra_hard,0,0.0
92,math_algebra_hard,0,0.0
287,math_algebra_hard,0,0.04
215,math_algebra_hard,0,1.0
144,math_algebra_hard,0,0.05
167,math_algebra_hard,0,0.0
128,math_algebra_hard,0,0.01
96,math_algebra_hard,0,0.05
251,math_algebra_hard,0,0.0
48,math_algebra_hard,0,0.01
89,math_algebra_hard,0,0.07
236,math_algebra_hard,0,0.02
227,math_algebra_hard,0,0.37
76,math_algebra_hard,0,0.06
200,math_algebra_hard,0,0.0
214,math_algebra_hard,0,0.0
26,math_algebra_hard,0,0.02
28,math_algebra_hard,0,0.02
228,math_algebra_hard,0,0.0
193,math_algebra_hard,0,0.06
79,math_algebra_hard,0,0.02
194,math_algebra_hard,0,0.02
86,math_algebra_hard,1,0.14
61,math_algebra_hard,0,0.05
277,math_algebra_hard,0,0.05
220,math_algebra_hard,0,0.06
