id,llm_correct,assessor_correct
5916,1,0.71
9000,1,0.43
567,0,0.25
8695,1,0.31
6076,1,0.41
1834,0,0.33
4754,0,0.15
3775,0,0.23
2721,0,0.21
4071,1,0.32
5982,0,0.11
9017,1,0.21
7139,1,0.51
4800,1,0.3
8867,0,0.1
6357,1,0.39
4592,1,0.45
7473,1,0.51
7103,1,0.41
11301,1,0.34
3516,0,0.07
1507,1,0.48
4970,0,0.3
8127,1,0.31
1214,0,0.07
2158,1,0.59
10895,1,0.07
4107,0,0.11
11436,1,0.34
2820,0,0.06
3676,1,0.36
8798,1,0.23
9120,0,0.45
5176,1,0.42
10775,0,0.01
4690,1,0.47
11223,1,0.0
6317,1,0.46
88,0,0.43
6625,0,1.0
5409,0,0.1
6332,0,0.14
8044,1,0.18
8378,1,0.34
278,1,0.39
352,1,0.52
8485,0,0.12
7838,0,0.3
8311,0,0.02
10228,0,0.17
11545,1,0.19
49,1,0.28
1148,1,0.32
7215,1,0.76
8507,1,0.31
3106,1,0.49
9439,0,0.28
2045,1,0.21
8279,1,0.39
11227,1,0.32
8495,0,0.18
2791,1,0.0
4804,1,0.24
2185,1,0.22
4827,0,0.03
18,1,0.21
7969,1,0.33
3157,0,0.0
8646,0,0.14
2295,1,0.65
1599,0,0.13
4233,1,0.25
2048,1,0.3
4858,1,0.8
9436,0,1.0
11639,1,0.21
6777,1,0.4
4503,1,0.23
11598,1,0.56
4312,1,0.21
7891,0,0.02
3978,1,0.27
2437,0,0.2
220,0,0.13
10101,0,0.17
6776,0,0.14
3428,1,0.3
10991,1,0.3
1501,1,0.24
10160,1,0.28
6678,0,0.15
1775,1,0.3
6175,1,0.28
7322,0,0.21
2231,0,0.4
1553,0,0.11
11940,1,0.33
10050,1,0.43
3255,1,0.56
10862,1,0.49
8076,1,0.23
7545,0,0.45
3056,1,0.6
1419,1,0.62
7581,1,0.35
8940,0,0.25
6346,1,0.0
10347,1,0.36
2339,1,0.12
6035,0,0.1
11934,0,0.04
3587,0,0.17
370,1,0.24
8501,0,0.46
8718,1,0.2
3539,0,0.11
11216,0,0.1
2258,1,0.36
11526,0,0.06
8928,1,0.63
11626,0,0.04
6669,1,0.37
5476,1,0.33
1843,0,0.14
4066,0,0.05
2335,1,0.15
10325,1,0.35
434,1,0.22
2617,1,0.36
6963,1,0.4
9299,1,0.0
372,0,0.17
7723,1,0.53
2276,1,0.48
6641,1,0.36
2420,1,0.39
6354,1,0.62
7089,1,0.4
9638,0,0.17
230,0,0.55
10819,0,0.12
3555,0,1.0
10112,0,0.53
11850,0,0.04
214,0,0.15
5304,1,0.52
4221,1,0.22
8712,0,0.13
417,1,0.5
3844,1,0.21
1771,0,0.16
2815,0,0.02
781,0,0.1
7186,0,0.09
5454,0,0.32
9714,0,0.17
6314,1,0.42
4367,0,1.0
8170,1,0.42
7520,1,0.4
128,1,0.62
97,0,0.41
5746,0,0.03
2142,1,0.44
7478,1,0.13
5411,0,0.27
3562,0,1.0
10927,1,0.29
3870,0,0.05
6377,1,0.0
1210,1,0.75
8804,0,0.19
11752,0,0.09
7393,1,0.45
7523,1,0.71
8030,0,0.04
5100,0,0.15
4059,1,0.33
1127,0,0.0
9425,1,0.31
10700,1,0.29
11215,1,0.19
1216,0,0.1
11667,0,0.08
4084,0,0.16
2118,0,0.09
8304,0,0.03
8673,1,0.31
7209,1,0.56
11768,0,0.31
6783,1,0.41
8542,0,0.34
6651,0,0.12
3329,1,0.31
4291,0,0.31
2908,1,0.29
4834,0,0.13
11732,0,0.09
2520,1,0.47
4908,0,0.31
5706,0,0.04
9244,1,0.72
5345,0,0.15
9430,1,0.36
8621,1,0.4
9554,0,0.39
2771,1,0.31
8728,1,0.22
2663,1,0.44
5881,0,0.2
11077,1,0.21
1251,1,0.21
6892,1,0.43
4463,1,0.18
10070,0,0.05
9512,0,0.37
1585,1,0.43
11330,1,0.36
308,0,0.55
2282,0,0.05
3684,1,0.58
3074,1,0.37
11214,1,0.4
8168,1,0.24
4314,0,0.27
11040,1,0.02
8583,1,0.0
2786,1,0.37
8901,0,0.21
4265,0,0.19
3887,1,0.27
7828,0,0.17
5031,1,0.56
8773,0,0.16
3893,0,0.03
4595,1,0.13
2563,1,0.49
1944,1,0.56
4097,0,0.03
10641,0,0.23
4676,1,0.41
10780,0,0.13
7361,0,0.43
6274,1,0.29
9241,1,0.36
5850,1,0.54
904,1,0.61
8289,0,1.0
3609,1,0.17
5621,0,0.13
4645,1,0.41
6603,1,0.54
424,1,0.91
10034,1,0.0
11622,0,0.18
2396,1,0.55
11586,1,0.25
3349,1,0.27
3328,1,0.53
1228,1,0.3
7643,1,0.56
1434,1,0.21
8726,1,0.37
10365,0,1.0
5615,1,0.43
8161,1,0.41
10748,1,0.12
9478,0,0.23
3811,1,0.57
11524,1,0.28
8849,0,1.0
2631,1,0.17
2878,1,0.43
6041,0,0.04
3564,1,0.17
8530,0,0.08
7276,0,0.44
6650,1,0.4
1503,1,0.36
8939,0,0.46
6091,0,0.32
3406,0,0.11
5577,0,0.17
2628,1,0.46
6488,1,0.29
6327,1,0.17
5522,1,0.43
8737,1,0.21
9692,0,0.17
321,1,0.19
7641,0,0.46
10049,1,0.33
9306,0,0.09
7030,0,0.06
4859,1,0.4
7920,0,0.04
2672,1,0.74
2546,1,0.37
6168,1,0.27
11866,0,0.08
7599,0,0.08
3974,1,0.38
10646,0,0.01
536,0,0.48
4447,0,0.21
10566,0,0.0
4092,0,1.0
3120,1,0.52
11435,1,0.36
3573,0,0.0
2200,0,0.26
10817,1,0.32
1388,1,0.49
3812,1,0.24
7324,0,0.08
3695,0,0.25
1983,1,0.71
16,0,0.24
3829,0,0.31
4070,0,1.0
2571,1,0.37
978,0,0.17
1941,1,0.44
11220,1,0.26
2299,0,0.03
5580,0,0.2
2402,0,0.11
