id,prompt,target
0,"Is the following sentence plausible? ""Elias Lindholm beat the buzzer.""",no
2,"Is the following sentence plausible? ""Marcelo got on the end of a through ball.""",yes
4,"Is the following sentence plausible? ""Mookie Betts skated behind the net.""",no
6,"Is the following sentence plausible? ""David Silva took a throw in.""",yes
8,"Is the following sentence plausible? ""Carles Puyol did a maradona on the defender.""",yes
10,"Is the following sentence plausible? ""Carson Wentz took to the ice.""",no
12,"Is the following sentence plausible? ""Jack Flaherty walked to first base in the National League Championship Series.""",yes
14,"Is the following sentence plausible? ""Dougie Hamilton hit the buzzer beater.""",no
16,"Is the following sentence plausible? ""Freddie Freeman watched the pitch go by.""",yes
18,"Is the following sentence plausible? ""Tom Brady converted the first down.""",yes
20,"Is the following sentence plausible? ""Tyreek Hill caught the screen pass.""",yes
22,"Is the following sentence plausible? ""Adam Thielen got on base.""",no
24,"Is the following sentence plausible? ""Kailer Yamamoto performed a slide tackle in the European Cup.""",no
26,"Is the following sentence plausible? ""LaMelo Ball launched the half court shot in the Western Conference Finals.""",yes
28,"Is the following sentence plausible? ""Zach LaVine  shot the puck.""",no
30,"Is the following sentence plausible? ""Delon Wright went for it on fourth down.""",no
32,"Is the following sentence plausible? ""Michael Conforto comitted a three second violation.""",no
34,"Is the following sentence plausible? ""Tom Wilson scored a penalty kick.""",no
36,"Is the following sentence plausible? ""Malik Beasley  comitted a three second violation.""",yes
38,"Is the following sentence plausible? ""T.Y. Hilton threw a touchdown in the AFC divisional round.""",yes
40,"Is the following sentence plausible? ""Julian Edelman fumbled the ball.""",yes
42,"Is the following sentence plausible? ""Jonathan Marchessault scored on the power play in the Stanley Cup.""",yes
44,"Is the following sentence plausible? ""Santi Cazorla called for the screen.""",no
46,"Is the following sentence plausible? ""DJ Chark caught the back shoulder fade in the NFC divisional round.""",yes
48,"Is the following sentence plausible? ""Michael Porter Jr. called for the screen.""",yes
50,"Is the following sentence plausible? ""Philip Rivers launched a hail mary.""",yes
52,"Is the following sentence plausible? ""Kevin Durant hit a walkoff homer.""",no
54,"Is the following sentence plausible? ""Ryan Tannehill hit a triple.""",no
56,"Is the following sentence plausible? ""Kawhi Leonard took a turnaround jumper.""",yes
58,"Is the following sentence plausible? ""Clint Capela got into the endzone.""",no
60,"Is the following sentence plausible? ""Wayne Rooney threw a touchdown in the Superbowl.""",no
62,"Is the following sentence plausible? ""Marouane Fellaini scored in extra time.""",yes
64,"Is the following sentence plausible? ""Vincent Kompany comitted a three second violation.""",no
66,"Is the following sentence plausible? ""Juan Soto shot from beyond the arc.""",no
68,"Is the following sentence plausible? ""Malcolm Brogdon drove into the restricted area in the Eastern Conference Finals.""",yes
70,"Is the following sentence plausible? ""Mike Hoffman launched the half court shot in the Western Conference Finals.""",no
