id,llm_correct,assessor_correct
342,0,0.31
451,0,1.0
418,1,0.04
253,1,0.55
310,1,0.04
145,1,0.08
212,1,0.19
397,0,0.01
257,1,0.01
527,1,0.38
534,1,0.01
283,1,0.58
455,0,0.0
109,1,0.09
225,1,0.11
79,0,0.01
222,1,0.04
110,1,0.01
471,1,0.03
364,1,0.49
384,1,0.07
29,1,0.34
104,1,0.23
65,1,0.28
523,0,0.44
390,1,0.0
261,1,0.39
319,1,0.75
467,0,0.02
175,1,0.06
519,1,0.38
510,1,0.0
302,1,0.49
411,1,0.42
317,1,0.07
305,1,0.0
84,1,0.03
194,1,0.3
53,0,0.09
433,1,0.27
335,1,0.01
166,1,0.16
478,1,0.0
48,1,0.09
330,0,0.22
296,0,0.13
299,1,0.16
340,1,0.14
450,1,0.47
97,1,0.0
415,1,0.12
275,1,0.02
454,1,0.1
156,0,0.0
133,1,0.0
157,0,0.04
357,1,0.03
280,1,0.2
484,1,0.24
509,1,0.39
181,0,0.03
174,1,0.05
9,1,0.14
113,1,0.02
466,0,0.0
386,1,0.27
163,0,0.11
164,1,0.36
173,1,0.24
292,1,0.31
277,0,0.02
6,1,0.15
306,1,0.14
532,1,0.07
108,1,0.2
358,1,0.03
387,0,0.0
404,1,0.0
19,1,0.04
490,1,0.39
180,0,0.04
23,0,0.08
326,1,0.03
285,1,0.0
432,0,0.03
241,1,0.0
16,1,0.23
441,1,0.24
371,1,0.12
123,1,0.02
136,1,0.1
320,1,0.01
351,1,0.1
24,1,0.08
276,1,0.01
421,1,0.0
398,0,0.0
530,1,0.0
96,1,0.07
366,1,0.47
408,1,0.0
436,1,0.0
516,1,0.2
252,0,0.0
345,1,0.02
267,1,0.18
189,1,0.17
135,1,0.0
372,1,0.07
55,1,0.25
505,1,0.01
28,1,0.06
515,1,0.0
215,0,0.15
339,0,0.01
196,1,0.13
76,1,0.01
396,1,0.03
188,0,0.14
348,1,0.0
38,1,0.19
0,1,0.04
472,0,0.13
324,1,0.23
508,1,0.07
22,1,0.06
424,1,0.2
100,1,0.07
513,1,0.09
10,1,0.05
314,1,0.03
217,1,0.1
446,1,0.01
427,1,0.07
143,1,0.15
328,1,0.24
228,1,0.04
388,1,0.13
120,1,0.08
170,0,0.01
131,0,0.02
92,1,0.04
176,1,0.01
125,1,0.15
512,1,0.02
7,0,0.03
268,1,0.01
25,1,0.07
439,1,0.54
287,1,0.11
279,1,0.01
522,1,0.02
12,1,0.12
200,1,0.02
445,1,0.1
315,1,0.41
282,0,0.55
82,1,0.06
193,1,0.02
103,0,0.16
496,1,0.09
413,0,0.0
535,1,0.0
407,1,0.01
14,0,0.17
121,1,0.01
249,0,0.06
540,1,0.18
142,1,0.32
506,1,0.0
218,1,0.34
416,1,0.0
392,1,0.26
264,0,0.43
70,1,0.06
453,0,0.17
165,1,0.31
395,1,0.21
440,0,0.1
378,1,0.24
353,0,0.0
347,1,0.06
101,1,0.13
195,1,0.16
102,1,0.07
71,1,0.11
236,0,0.0
57,1,0.01
374,1,0.22
62,1,0.39
46,1,0.07
311,0,0.22
271,1,0.58
8,1,0.0
344,1,0.08
45,1,0.58
138,1,0.0
265,1,0.03
168,1,0.21
481,1,0.0
127,1,0.03
87,1,0.13
126,1,0.32
419,1,0.06
72,1,0.04
361,1,0.11
216,1,0.27
172,1,0.13
186,1,0.01
202,1,0.11
495,1,0.01
161,0,1.0
235,1,0.26
20,0,0.09
116,1,0.17
461,0,0.16
130,0,0.06
334,1,0.04
363,1,0.06
27,1,0.14
185,0,0.0
207,1,0.0
36,1,0.1
190,1,0.08
191,1,0.03
294,1,0.02
526,1,0.42
31,1,0.08
370,0,0.06
423,0,0.04
41,1,0.0
269,1,0.25
325,1,0.3
153,0,0.03
152,1,0.18
35,1,0.16
272,1,0.28
291,1,0.2
487,0,0.0
155,1,0.13
234,1,0.19
498,0,0.35
273,1,0.0
425,1,0.07
341,0,0.04
524,1,0.06
329,1,0.03
521,1,0.22
278,1,0.06
179,0,0.02
376,1,0.07
380,1,0.0
447,1,0.21
242,1,0.29
159,1,0.04
258,1,0.1
39,0,0.11
33,0,0.18
368,1,0.11
525,1,0.02
240,1,0.03
177,1,0.0
226,1,0.17
442,1,0.13
298,1,0.05
124,1,0.0
379,1,0.23
536,1,0.0
205,1,0.25
83,0,0.0
293,1,0.1
297,1,0.0
503,0,0.08
147,0,0.05
17,1,0.11
284,1,0.0
303,1,0.13
286,0,0.01
89,0,0.0
308,1,0.15
456,1,0.4
270,1,0.09
369,1,0.2
266,1,0.04
21,1,0.02
511,1,0.0
444,0,0.04
254,1,0.01
50,1,0.0
262,1,0.22
300,1,0.02
248,1,0.06
93,1,0.17
80,1,0.59
232,0,0.09
435,0,0.44
246,1,0.14
256,1,0.03
151,0,0.0
134,1,0.12
58,1,0.01
224,1,0.12
255,1,0.08
95,0,0.02
209,0,0.0
85,1,0.07
290,0,0.07
68,1,0.0
60,0,0.01
201,1,0.27
475,1,0.01
313,1,0.08
107,1,0.15
359,1,0.11
122,0,0.21
417,1,0.22
230,1,0.24
295,1,0.24
187,1,0.09
489,1,0.02
429,1,0.55
393,1,0.0
307,1,0.13
3,1,0.25
482,1,0.0
49,1,0.0
355,1,0.24
382,1,0.0
40,1,0.0
465,1,0.0
477,0,0.04
410,0,0.0
323,1,0.06
405,0,0.03
63,1,0.03
150,1,0.12
132,1,0.06
59,0,0.04
312,1,0.13
208,1,0.3
105,1,0.03
77,0,0.04
531,1,0.38
403,1,0.08
492,1,0.0
61,1,0.06
457,1,0.0
474,1,0.33
214,1,0.11
213,1,0.1
34,1,0.04
373,0,0.22
352,1,0.02
476,1,0.0
349,1,0.11
139,1,0.33
51,1,0.27
75,1,0.21
486,1,0.39
112,1,0.02
365,1,0.04
4,1,0.2
469,1,0.08
399,0,0.04
244,0,0.23
94,1,0.18
377,1,0.0
426,1,0.05
115,0,0.12
420,1,0.03
99,1,0.0
56,1,0.27
30,1,0.1
318,1,0.04
497,1,0.45
537,1,0.14
360,1,0.33
539,1,0.07
304,1,0.08
507,1,0.12
141,1,0.36
517,0,0.29
520,1,0.0
448,0,1.0
169,1,0.18
91,1,0.0
47,1,0.19
343,1,0.08
289,1,0.19
90,0,0.24
381,1,0.07
220,0,0.0
385,1,0.01
26,1,0.2
144,1,0.04
460,1,0.03
204,0,0.12
106,1,0.23
86,1,0.16
533,1,0.01
367,1,0.03
488,1,0.19
428,1,0.0
74,0,0.21
137,1,0.01
437,1,0.16
309,1,0.36
260,1,0.56
2,1,0.16
337,1,0.32
199,1,0.01
64,1,0.02
538,1,0.02
356,1,0.02
32,1,0.32
198,0,0.5
178,1,0.13
529,1,0.02
485,1,0.08
463,0,0.05
43,1,0.45
192,1,0.35
119,0,0.2
128,1,0.03
501,0,0.0
518,1,0.04
88,1,0.0
221,1,0.05
171,1,0.4
233,1,0.28
223,1,0.34
462,1,0.36
362,1,0.17
