id,subset,llm_correct,assessor_correct
165,math_algebra_hard,0,0.0
106,math_algebra_hard,0,0.0
204,math_algebra_hard,0,0.0
235,math_algebra_hard,0,0.0
249,math_algebra_hard,0,0.07
279,math_algebra_hard,0,0.07
8,math_algebra_hard,0,0.01
100,math_algebra_hard,0,0.06
88,math_algebra_hard,0,0.0
208,math_algebra_hard,0,0.01
74,math_algebra_hard,0,0.0
138,math_algebra_hard,0,0.0
305,math_algebra_hard,0,0.0
289,math_algebra_hard,0,0.01
189,math_algebra_hard,0,0.04
306,math_algebra_hard,0,0.01
120,math_algebra_hard,0,0.14
72,math_algebra_hard,0,0.01
117,math_algebra_hard,0,0.01
261,math_algebra_hard,0,0.0
71,math_algebra_hard,0,1.0
35,math_algebra_hard,0,0.0
34,math_algebra_hard,0,0.01
6,math_algebra_hard,0,0.07
192,math_algebra_hard,0,0.01
244,math_algebra_hard,0,0.06
129,math_algebra_hard,0,0.17
20,math_algebra_hard,0,0.0
150,math_algebra_hard,0,0.06
116,math_algebra_hard,0,0.02
275,math_algebra_hard,0,0.0
142,math_algebra_hard,0,0.04
130,math_algebra_hard,0,0.06
156,math_algebra_hard,0,0.01
247,math_algebra_hard,0,0.0
174,math_algebra_hard,1,0.05
285,math_algebra_hard,0,0.0
278,math_algebra_hard,0,0.24
36,math_algebra_hard,0,0.0
190,math_algebra_hard,0,0.0
217,math_algebra_hard,0,0.0
265,math_algebra_hard,1,0.21
296,math_algebra_hard,0,0.07
218,math_algebra_hard,0,0.0
14,math_algebra_hard,0,0.02
103,math_algebra_hard,0,0.02
273,math_algebra_hard,0,0.04
181,math_algebra_hard,0,0.0
222,math_algebra_hard,0,0.52
70,math_algebra_hard,0,0.0
4,math_algebra_hard,0,0.04
126,math_algebra_hard,0,0.1
239,math_algebra_hard,0,0.02
11,math_algebra_hard,1,0.0
77,math_algebra_hard,0,0.12
152,math_algebra_hard,0,0.03
27,math_algebra_hard,0,0.0
64,math_algebra_hard,0,0.03
94,math_algebra_hard,0,0.01
81,math_algebra_hard,0,0.01
7,math_algebra_hard,0,0.06
295,math_algebra_hard,0,0.07
109,math_algebra_hard,0,0.07
83,math_algebra_hard,0,0.01
141,math_algebra_hard,0,0.0
75,math_algebra_hard,0,0.0
33,math_algebra_hard,0,0.0
12,math_algebra_hard,0,0.0
242,math_algebra_hard,0,0.06
188,math_algebra_hard,0,0.02
91,math_algebra_hard,0,0.02
51,math_algebra_hard,0,0.0
62,math_algebra_hard,0,0.06
67,math_algebra_hard,0,0.0
125,math_algebra_hard,0,0.04
293,math_algebra_hard,0,0.0
226,math_algebra_hard,0,0.04
63,math_algebra_hard,0,0.09
133,math_algebra_hard,0,0.0
24,math_algebra_hard,0,0.15
234,math_algebra_hard,0,0.02
112,math_algebra_hard,0,0.0
302,math_algebra_hard,0,0.05
53,math_algebra_hard,0,0.03
57,math_algebra_hard,0,0.0
113,math_algebra_hard,0,0.04
176,math_algebra_hard,0,0.15
203,math_algebra_hard,0,0.05
46,math_algebra_hard,1,0.19
5,math_algebra_hard,0,0.04
286,math_algebra_hard,0,0.0
177,math_algebra_hard,1,0.55
270,math_algebra_hard,0,0.01
121,math_algebra_hard,0,0.04
41,math_algebra_hard,0,0.06
169,math_algebra_hard,0,0.0
13,math_algebra_hard,0,0.01
254,math_algebra_hard,0,0.01
50,math_algebra_hard,0,0.08
262,math_algebra_hard,0,0.01
300,math_algebra_hard,0,0.08
248,math_algebra_hard,0,0.01
304,math_algebra_hard,0,0.0
65,math_algebra_hard,0,0.0
80,math_algebra_hard,1,0.17
153,math_algebra_hard,1,0.04
246,math_algebra_hard,0,0.0
85,math_algebra_hard,0,0.02
180,math_algebra_hard,1,0.13
134,math_algebra_hard,0,0.07
58,math_algebra_hard,0,0.02
224,math_algebra_hard,0,0.0
284,math_algebra_hard,0,0.02
124,math_algebra_hard,0,0.03
179,math_algebra_hard,0,0.1
185,math_algebra_hard,0,0.0
290,math_algebra_hard,0,0.02
68,math_algebra_hard,0,0.01
60,math_algebra_hard,0,0.04
69,math_algebra_hard,0,0.0
147,math_algebra_hard,0,0.09
73,math_algebra_hard,0,0.01
136,math_algebra_hard,0,0.05
