id,llm_correct,assessor_correct
5916,1,0.56
9000,0,0.41
567,1,0.38
8695,0,0.28
6076,0,0.65
1834,0,0.11
4754,0,0.21
3775,1,0.46
2721,0,0.34
4071,1,0.57
5982,0,0.32
9017,0,0.13
7139,0,0.25
4800,0,0.39
8867,0,0.12
6357,0,0.32
4592,0,0.37
7473,0,0.09
7103,0,0.34
11301,0,0.09
3516,0,0.07
1507,0,0.24
4970,0,0.13
8127,0,0.24
1214,0,0.34
2158,0,0.23
10895,0,0.02
4107,1,0.35
11436,0,0.02
2820,1,0.33
3676,1,0.39
8798,0,0.06
9120,0,0.51
5176,1,0.46
10775,0,0.01
4690,0,0.36
11223,0,1.0
6317,0,0.13
88,0,0.19
6625,0,1.0
5409,0,0.12
6332,1,0.19
8044,0,0.44
8378,0,0.07
278,0,0.29
352,0,0.11
8485,0,0.17
7838,1,0.37
8311,0,0.12
10228,1,0.11
11545,0,0.11
49,0,0.48
1148,1,0.35
7215,1,0.39
8507,0,0.23
3106,0,0.07
9439,0,0.22
2045,0,0.3
8279,0,0.22
11227,0,0.23
8495,0,0.34
2791,0,1.0
4804,0,0.65
2185,0,0.08
4827,0,0.15
18,1,0.1
7969,0,0.15
3157,0,0.01
8646,1,0.44
2295,0,0.01
1599,0,0.22
4233,1,0.45
2048,0,0.05
4858,0,0.44
9436,0,1.0
11639,0,0.18
6777,1,0.42
4503,1,0.32
11598,1,0.53
4312,0,0.0
7891,0,0.04
3978,0,0.04
2437,1,0.27
220,0,0.07
10101,0,0.25
6776,0,0.04
3428,0,0.58
10991,0,0.04
1501,1,0.32
10160,0,0.25
6678,0,0.1
1775,1,0.19
6175,0,0.0
7322,0,0.01
2231,0,0.14
1553,0,0.15
11940,0,0.3
10050,1,0.69
3255,1,0.2
10862,0,0.06
8076,0,0.28
7545,0,0.23
3056,1,0.33
1419,0,0.22
7581,0,0.15
8940,0,0.3
6346,0,1.0
10347,0,0.05
2339,0,0.54
6035,1,0.42
11934,0,0.3
3587,1,0.37
370,0,0.18
8501,0,0.51
8718,0,0.2
3539,1,0.42
11216,0,0.18
2258,0,0.15
11526,1,0.25
8928,0,0.26
11626,0,0.16
6669,1,0.34
5476,0,0.02
1843,0,0.02
4066,0,0.22
2335,0,0.08
10325,1,0.41
434,1,0.31
2617,1,0.46
6963,0,0.1
9299,0,1.0
372,0,0.29
7723,0,0.02
2276,0,0.69
6641,1,0.28
2420,1,0.35
6354,0,0.23
7089,0,0.33
9638,0,0.31
230,0,0.11
10819,1,0.48
3555,0,1.0
10112,0,0.42
11850,1,0.42
214,0,0.3
5304,0,0.12
4221,0,0.27
8712,0,0.21
417,0,0.31
3844,0,0.12
1771,1,0.0
2815,0,0.04
781,0,0.48
7186,0,0.09
5454,0,0.07
9714,0,0.23
6314,0,0.08
4367,1,0.0
8170,0,0.45
7520,0,0.48
128,0,0.28
97,1,0.18
5746,0,0.11
2142,0,0.04
7478,1,0.34
5411,0,0.28
3562,0,1.0
10927,1,0.11
3870,0,0.09
6377,0,1.0
1210,1,0.67
8804,0,0.06
11752,0,0.28
7393,0,0.14
7523,0,0.44
8030,0,0.24
5100,0,0.02
4059,1,0.4
1127,0,0.24
9425,0,0.62
10700,0,0.03
11215,0,0.23
1216,0,0.45
11667,0,0.03
4084,0,0.27
2118,0,0.15
8304,0,0.02
8673,0,0.26
7209,0,0.23
11768,0,0.79
6783,0,0.16
8542,0,0.08
6651,0,0.19
3329,0,0.32
4291,0,0.33
2908,0,0.12
4834,1,0.38
11732,1,0.46
2520,0,0.04
4908,0,0.34
5706,0,0.13
9244,0,0.06
5345,0,0.23
9430,0,0.38
8621,0,0.14
9554,1,0.22
2771,0,0.47
8728,0,0.09
2663,0,0.06
5881,0,0.39
11077,0,0.12
1251,1,0.28
6892,1,0.2
4463,0,0.06
10070,0,0.2
9512,1,0.42
1585,0,0.19
11330,0,0.2
308,0,0.41
2282,0,0.13
3684,0,0.36
3074,0,0.63
11214,0,0.28
8168,0,0.1
4314,0,0.22
11040,0,0.0
8583,0,1.0
2786,1,0.35
8901,0,0.2
4265,0,0.32
3887,0,0.22
7828,0,0.02
5031,0,0.22
8773,0,0.01
3893,0,0.16
4595,0,0.18
2563,1,0.14
1944,0,0.31
4097,1,0.28
10641,1,0.49
4676,0,0.16
10780,1,0.42
7361,1,0.43
6274,0,0.52
9241,0,0.05
5850,0,0.2
904,0,0.65
8289,0,1.0
3609,0,0.21
5621,0,0.06
4645,0,0.3
6603,1,0.28
424,0,0.0
