id,llm_correct,assessor_correct
5916,1,0.36
9000,1,0.36
567,1,0.31
8695,1,0.42
6076,1,0.2
1834,1,0.32
4754,0,0.26
3775,1,0.38
2721,1,0.35
4071,1,0.45
5982,1,0.43
9017,0,0.06
7139,1,0.3
4800,1,0.31
8867,1,0.29
6357,1,0.35
4592,1,0.49
7473,1,0.57
7103,0,0.32
11301,1,0.65
3516,0,0.18
1507,1,0.24
4970,1,0.49
8127,1,0.44
1214,0,0.32
2158,1,0.58
10895,0,0.03
4107,1,0.33
11436,1,0.35
2820,1,0.41
3676,0,0.21
8798,1,0.22
9120,1,0.18
5176,1,0.36
10775,1,0.38
4690,1,0.34
11223,0,1.0
6317,1,0.7
88,1,0.27
6625,1,0.0
5409,1,0.43
6332,1,0.42
8044,1,0.39
8378,1,0.39
278,0,0.04
352,1,0.5
8485,0,0.1
7838,1,0.33
8311,1,0.43
10228,1,0.38
11545,1,0.18
49,1,0.29
1148,1,0.46
7215,1,0.44
8507,1,0.47
3106,1,0.47
9439,1,0.47
2045,1,0.42
8279,1,0.38
11227,0,0.41
8495,1,0.46
2791,1,0.0
4804,1,0.22
2185,1,0.38
4827,0,0.02
18,1,0.21
7969,0,0.21
3157,1,0.58
8646,0,0.04
2295,1,0.81
1599,0,0.21
4233,1,0.36
2048,1,0.23
4858,1,0.43
9436,0,1.0
11639,1,0.21
6777,1,0.39
4503,1,0.33
11598,1,0.72
4312,1,0.09
7891,1,0.54
3978,1,0.27
2437,0,0.09
220,1,0.49
10101,1,0.39
6776,1,0.6
3428,1,0.22
10991,1,0.26
1501,1,0.23
10160,1,0.25
6678,0,0.02
1775,1,0.27
6175,1,0.26
7322,1,0.4
2231,1,0.53
1553,1,0.33
11940,0,0.26
10050,1,0.74
3255,1,0.44
10862,0,0.01
8076,1,0.37
7545,1,0.45
3056,1,0.47
1419,1,0.4
7581,1,0.29
8940,1,0.22
6346,1,0.0
10347,1,0.21
2339,1,0.28
6035,0,0.1
11934,1,0.2
3587,0,0.17
370,1,0.4
8501,1,0.2
8718,1,0.29
3539,1,0.44
11216,0,0.23
2258,1,0.43
11526,0,0.03
8928,1,0.65
11626,0,0.29
6669,1,0.32
5476,1,0.23
1843,0,0.14
4066,1,0.32
2335,1,0.28
10325,1,0.57
434,1,0.2
2617,1,0.39
6963,1,0.34
9299,1,0.0
372,1,0.27
7723,1,0.42
2276,1,0.29
6641,1,0.4
